prompt,completion
"need call nurse ,","I need you to call the nurse,"
"Either today tomorrow ,","Either today or tomorrow,"
"read book ? ,","Can you read me a book?,"
"help wash face ,","Please help me wash my face,"
"hear ? ,","Can you hear me?,"
"button coat ? ,","Can you please button my coat?,"
"Help move ,","Help me move this please,"
"turn TV ? ,","Can you turn on the TV?,"
"change position chair back ,","Please change the position of the chair back,"
"need urinal ,","I need a urinal,"
"help put away groceries ? ,","Can you help me put away the groceries?,"
"help reorder checks checking account ? ,","Can you help me reorder checks in my checking account?,"
"close window ,","Please close the window,"
"take outside ,","Please take me outside,"
"Thanks visiting ,","Thanks for visiting,"
"crazy ? ,","Are you crazy?,"
"turn radio ,","Please turn on the radio,"
"turn heat ,","Please turn up the heat,"
"emergency ,","This is an emergency,"
"understand ? ,","Do you understand me?,"
"guess better going great see ,","I guess I better be going It's been great to see you,"
"hope see ,","I hope to see you again,"
"Thanks stopping ,","Thanks for stopping by,"
"That's great ,","That's just great,"
"I'd like see ,","I'd like to see you again,"
"That's crazy shit ,","That's some crazy shit,"
"Call ,","Call me when you can,"
"could helped little bit ,","He could have helped out a little bit,"
"true ,","That is true,"
"help balance account ? ,","Can you help me balance the account?,"
"help make deposit bank ? ,","Can you help me make a deposit in the bank?,"
"I'm ,","I'm here,"
"I'll meet ,","I'll meet you there,"
"going ,","We are going now,"
"I'm office ,","I'm in the office,"
"itch ,","I have an itch,"
"feel angry ,","I feel angry,"
"I'm hot ,","I'm hot,"
"call back ? ,","Can you have them call me back?,"
"scratch harder ,","Please scratch harder,"
"want lay back ,","I want to lay on my back,"
"socks ? ,","Can I have my socks?,"
"I'm uncomfortable ,","I'm uncomfortable,"
"see ? ,","Did you see?,"
"like kind work ? ,","Do you like your kind of work?,"
"something say ,","I have something to say about that,"
"nice meet ,","How nice to meet you,"
"Tell ,","Tell me about,"
"nice finally meet ,","It's nice to finally meet you,"
"think Red Sox ? ,","What do you think about the Red Sox?,"
"What's happening ? ,","What's happening?,"
"What's name ? ,","What's your name?,"
"live ? ,","Where do you live?,"
"Yeah ,","Yeah,"
"understand mean ? ,","Do you understand what I mean?,"
"Thanks telling ,","Thanks for telling me that,"
"wait moment ? ,","Can you wait a moment?,"
"Goodbye ,","Goodbye,"
"Let's try ,","Let's try that again,"
"? ,","Have you been there?,"
"let finish ,","Please let me finish,"
"anything special tonight ? ,","Are you doing anything special tonight?,"
"Hey , Sarah ,","Hey, Sarah,"
"Hey , Taylor ,","Hey, Taylor,"
"Hey ,","Hey,"
"Hey , Corinne ,","Hey, Corinne,"
"See later ,","See you later,"
"minute ,","Just a minute,"
"real quick ? ,","Can you do it real quick?,"
"Ouch ,","Ouch,"
"long ago ? ,","How long ago?,"
"lunch ,","At lunch,"
"already ,","I already did,"
"used ,","I used to,"
"happened ,","It happened again,"
"Maybe later ,","Maybe later,"
"I'm done ,","I'm all done,"
",","Now it is,"
"took long ,","It took so long,"
"time ,","If there is time,"
",","Over and over again,"
"longer ,","No longer,"
"get done ,","When I get it done,"
"? ,","When are you here?,"
"early ,","Too early for me,"
"spoon ? ,","Can I have a spoon?,"
"Better hurry ,","Better hurry,"
"want anymore ,","I don't want anymore,"
"chocolate ? ,","Do you have any chocolate?,"
"help dinner ? ,","Can you help me with my dinner?,"
"linguisa ? ,","Can I have some linguisa?,"
"like vegetables ,","I like vegetables,"
"would like ice cream ,","I would like some ice cream,"
"read ,","Please read to me,"
"open window ,","Please open the window,"
"would like grapes ,","I would like to have some grapes,"
"would like yogurt berries ,","I would like to have some yogurt and berries,"
"I'd like salad ,","I'd like to have a salad,"
"pie ? ,","Is there any pie?,"
"I'd like waffles syrup ,","I'd like to have waffles with syrup,"
"never liked ,","I never liked them,"
"What's dinner ? ,","What's for dinner?,"
"like music ,","I don't like this music,"
"love play music ,","I love to play music,"
"like place ,","I don't like that place,"
"I'm grateful done ,","I'm so grateful for all you've done for me,"
"really care ,","I don't really care,"
"like ,","I don't like it,"
"feels really good ,","It feels really good,"
"help means much ,","Your help means so much to me,"
"think that's bad ,","I think that's bad,"
"I'm nervous ,","I'm nervous,"
"I'm really worried ,","I'm really worried about it,"
"Goodbye ,","Goodbye,"
"hard ,","That should be hard to do,"
"That's hard ,","That's hard,"
"stay ? ,","Will you stay for a while?,"
"cup tea ,","It's not my cup of tea,"
"amazing mom ,","You are an amazing mom,"
"serious ? ,","Are you serious?,"
"safe trip ,","Have a safe trip,"
"Anna ,","Anna,"
"I'm glad life ,","I'm glad you're in my life,"
"sorry ,","I am sorry,"
"can't stand ,","I can't stand this,"
"Trevor ,","Trevor,"
"wish well ,","I wish you well,"
"open door let breeze ? ,","Can you open the door to let the breeze in?,"
"Marnie ,","Marnie,"
"hot ,","It's hot in here,"
"cold ,","It's cold in here,"
"humid ,","It's very humid,"
"hope ,","I hope,"
"cold ,","It's so cold,"
"great party ,","This is a great party,"
"safe trip ,","Have a safe trip,"
"need glasses ,","I need my glasses,"
"get pillow ? ,","Can you get me a pillow?,"
"want take bath ,","I want to take a bath,"
"need blow nose ,","I need to blow my nose,"
